test_year,pos_g,feature_set,n,pick_only_spearman,market_spearman,apex_raw_spearman,apex_plus_spearman,delta_raw_vs_pick,delta_plus_vs_pick,shrink
2016,DB,profile,51,0.549,0.5407,0.5462,0.5111,-0.0028,-0.0379,0.4
2016,DT,profile,21,0.2196,0.2196,0.1625,0.013,-0.0571,-0.2066,0.4
2016,EDGE,profile,20,0.4137,0.4137,0.4245,0.469,0.0109,0.0553,0.4
2016,LB,profile,33,0.6123,0.612,0.6299,0.6508,0.0175,0.0385,0.1
2016,OL,profile,41,0.448,0.448,0.4415,0.383,-0.0066,-0.065,0.4
2016,RB,profile,23,0.8107,0.8171,0.8171,0.8171,0.0064,0.0064,0.0
2016,WR,profile,31,0.6493,0.6617,0.6522,0.6651,0.003,0.0158,0.4
2017,DB,profile,53,0.5881,0.5881,0.5962,0.5342,0.0081,-0.0538,0.4
2017,DT,profile,22,0.5835,0.5797,0.5797,0.5797,-0.0038,-0.0038,0.0
2017,LB,profile,25,0.2873,0.2932,0.3055,0.3437,0.0182,0.0564,0.4
2017,OL,profile,33,0.5428,0.5452,0.5089,0.5242,-0.0339,-0.0185,0.1
2017,RB,profile,28,0.724,0.7241,0.7241,0.7241,0.0002,0.0002,0.0
2017,WR,profile,32,0.539,0.5332,0.5332,0.5332,-0.0058,-0.0058,0.0
2018,DB,profile,44,0.6071,0.6073,0.6073,0.6073,0.0002,0.0002,0.0
2018,DT,profile,20,0.6595,0.6595,0.671,0.6649,0.0115,0.0054,0.1
2018,EDGE,profile,21,0.46,0.4599,0.4954,0.4831,0.0354,0.0231,0.4
2018,LB,profile,37,0.575,0.5759,0.6169,0.6439,0.0419,0.0689,0.3
2018,OL,profile,37,0.6208,0.6199,0.6199,0.6199,-0.0009,-0.0009,0.0
2018,RB,profile,20,0.6997,0.7078,0.7078,0.7078,0.0081,0.0081,0.0
2018,WR,profile,33,0.5039,0.5195,0.5314,0.5735,0.0275,0.0697,0.3
2019,DB,profile,52,0.4892,0.4872,0.5146,0.5157,0.0254,0.0265,0.3
2019,DT,profile,22,0.8572,0.85,0.8491,0.816,-0.0081,-0.0412,0.3
2019,LB,profile,24,0.6029,0.6029,0.5968,0.5331,-0.006,-0.0698,0.4
2019,OL,profile,40,0.7329,0.7336,0.7336,0.7336,0.0007,0.0007,0.0
2019,RB,profile,25,0.6838,0.6838,0.7258,0.7195,0.042,0.0357,0.3
2019,WR,profile,28,0.5686,0.5658,0.5598,0.5325,-0.0088,-0.0362,0.4
2020,DB,profile,41,0.3327,0.3355,0.3334,0.3401,0.0007,0.0074,0.1
2020,LB,profile,27,0.8137,0.8123,0.7755,0.725,-0.0383,-0.0887,0.2
2020,OL,profile,39,0.5909,0.5909,0.5909,0.5909,0.0,0.0,0.0
2020,WR,profile,32,0.5467,0.5299,0.5046,0.4708,-0.0421,-0.0759,0.4
2021,DB,profile,48,0.5731,0.5772,0.5598,0.5195,-0.0133,-0.0536,0.4
2021,EDGE,profile,20,0.5027,0.4904,0.4887,0.5023,-0.014,-0.0004,0.4
2021,OL,profile,40,0.5447,0.5505,0.5696,0.5752,0.0249,0.0305,0.1
2021,WR,profile,30,0.7396,0.734,0.734,0.734,-0.0056,-0.0056,0.0
